pct,size,max_time,max_dist,average_time,average_dist,geometric_time,geometric_dist,harmonic_time,harmonic_dist
0,17,0.0015494823455810547,0,0.0026159286499023438,0,0.0017192363739013672,0,0.0017206668853759766,0
5,17,0.0010781288146972656,6,0.0011260509490966797,5,0.0010075569152832031,5,0.000989675521850586,5
10,17,0.0009322166442871094,9,0.0009872913360595703,17,0.0010139942169189453,17,0.0010116100311279297,17
15,17,0.001041412353515625,11,0.0009975433349609375,10,0.0010211467742919922,13,0.0010182857513427734,13
25,17,0.0009369850158691406,16,0.001003265380859375,10,0.0010378360748291016,10,0.0011267662048339844,10
0,95,0.2129075527191162,0,0.20992374420166016,0,0.3058757781982422,0,0.2123124599456787,0
5,95,0.26032137870788574,53,0.23253202438354492,65,0.2336270809173584,59,0.23421311378479004,59
10,95,0.24022197723388672,83,0.23835086822509766,112,0.23775768280029297,109,0.2382361888885498,115
15,95,0.24234604835510254,104,0.23731660842895508,89,0.2396690845489502,89,0.24759149551391602,89
25,95,0.2468717098236084,249,0.24983549118041992,149,0.24504780769348145,149,0.24298548698425293,149
0,63,0.0620272159576416,0,0.06345820426940918,0,0.061483144760131836,0,0.06234860420227051,0
5,63,0.06676626205444336,32,0.06634998321533203,35,0.06849336624145508,35,0.0685887336730957,35
10,63,0.06883478164672852,64,0.06807804107666016,60,0.06914424896240234,56,0.06898236274719238,56
15,63,0.06909465789794922,73,0.06936812400817871,72,0.06999754905700684,66,0.0683448314666748,66
25,63,0.06847548484802246,102,0.06818366050720215,92,0.06944751739501953,97,0.07000494003295898,97
0,34,0.007422924041748047,0,0.008505821228027344,0,0.008891820907592773,0,0.008690357208251953,0
5,34,0.007737398147583008,9,0.008046150207519531,20,0.008054733276367188,20,0.009388923645019531,20
10,34,0.007955074310302734,20,0.009068489074707031,13,0.009234189987182617,13,0.009043216705322266,13
15,34,0.007901430130004883,33,0.007871627807617188,23,0.00901937484741211,23,0.009455442428588867,23
25,34,0.007986783981323242,56,0.009718656539916992,45,0.009473323822021484,46,0.009457588195800781,46
0,73,0.09934592247009277,0,0.09882211685180664,0,0.09853529930114746,0,0.09785270690917969,0
5,73,0.10735654830932617,28,0.10685276985168457,24,0.10721111297607422,24,0.10725998878479004,24
10,73,0.10999798774719238,62,0.10985469818115234,33,0.1095876693725586,33,0.10925626754760742,33
15,73,0.11289095878601074,85,0.1103508472442627,96,0.11142683029174805,90,0.11080288887023926,90
25,73,0.11239457130432129,124,0.11110353469848633,70,0.11156010627746582,65,0.11200666427612305,65
0,66,0.0772864818572998,0,0.07587432861328125,0,0.07832217216491699,0,0.07672858238220215,0
5,66,0.07668042182922363,41,0.0806131362915039,38,0.07754659652709961,38,0.0784299373626709,38
10,66,0.07855010032653809,41,0.07857418060302734,64,0.07825398445129395,64,0.07779955863952637,64
15,66,0.07840442657470703,103,0.07821226119995117,62,0.07866787910461426,62,0.07822847366333008,62
25,66,0.08078908920288086,91,0.08325314521789551,83,0.08014369010925293,83,0.0794517993927002,86
0,111,0.3627643585205078,0,0.3547508716583252,0,0.35502195358276367,0,0.35625696182250977,0
5,111,0.4043765068054199,79,0.3977174758911133,68,0.3970057964324951,68,0.39889049530029297,68
10,111,0.41327667236328125,130,0.40375494956970215,86,0.4045073986053467,80,0.40761780738830566,80
15,111,0.4147834777832031,189,0.4174957275390625,137,0.40719175338745117,130,0.40926456451416016,130
25,111,0.43744516372680664,327,0.41250085830688477,217,0.4150693416595459,221,0.636293888092041,217
0,149,0.9418833255767822,0,0.9140386581420898,0,0.9196405410766602,0,0.9184060096740723,0
5,149,1.041316270828247,141,1.0520286560058594,164,1.0249395370483398,164,1.0248231887817383,164
10,149,1.0789918899536133,201,1.0285956859588623,215,1.0244734287261963,215,1.012460470199585,215
15,149,1.0159409046173096,240,1.0192420482635498,208,0.9987642765045166,208,0.9960000514984131,208
25,149,1.1164400577545166,423,1.0627806186676025,260,1.0601139068603516,260,1.055288314819336,260
0,50,0.025777578353881836,0,0.026921749114990234,0,0.026862382888793945,0,0.027657508850097656,0
5,50,0.028641462326049805,33,0.031019210815429688,35,0.03363847732543945,30,0.03208184242248535,30
10,50,0.029096603393554688,47,0.030961990356445312,32,0.03272223472595215,32,0.033086538314819336,32
15,50,0.02811431884765625,51,0.03279399871826172,49,0.03481125831604004,66,0.03241705894470215,66
25,50,0.029768705368041992,76,0.03302955627441406,81,0.03455805778503418,80,0.03365826606750488,77
0,56,0.04364919662475586,0,0.04100751876831055,0,0.042528390884399414,0,0.04210066795349121,0
5,56,0.044678688049316406,23,0.04570269584655762,23,0.04402732849121094,23,0.04592084884643555,23
10,56,0.045392513275146484,54,0.04656863212585449,44,0.04681086540222168,38,0.045877695083618164,38
15,56,0.0470888614654541,57,0.04433250427246094,51,0.045564889907836914,51,0.04628467559814453,51
25,56,0.04673337936401367,96,0.04664969444274902,78,0.0471498966217041,78,0.045424699783325195,78
0,84,0.16889524459838867,0,0.15876102447509766,0,0.1598219871520996,0,0.15960979461669922,0
5,84,0.16425299644470215,45,0.16019487380981445,63,0.16798758506774902,63,0.16195368766784668,63
10,84,0.16749191284179688,95,0.16213083267211914,82,0.1634058952331543,82,0.16424918174743652,82
15,84,0.16662859916687012,126,0.16286110877990723,95,0.16371893882751465,94,0.1703648567199707,94
25,84,0.1687319278717041,150,0.16565465927124023,124,0.1646285057067871,120,0.16547012329101562,120
0,85,0.1528937816619873,0,0.1490037441253662,0,0.15545964241027832,0,0.15171456336975098,0
5,85,0.1705169677734375,66,0.16634726524353027,57,0.16718387603759766,57,0.1681656837463379,57
10,85,0.17144227027893066,63,0.16834354400634766,59,0.17120742797851562,59,0.16805124282836914,59
15,85,0.17293334007263184,90,0.17017102241516113,78,0.1714644432067871,81,0.17672491073608398,81
25,85,0.18462324142456055,160,0.17292237281799316,149,0.17203330993652344,149,0.1724553108215332,150
0,105,0.2988734245300293,0,0.2872612476348877,0,0.28765082359313965,0,0.28955745697021484,0
5,105,0.3419046401977539,64,0.3245735168457031,96,0.323772668838501,96,0.32727503776550293,96
10,105,0.33666062355041504,110,0.3300774097442627,111,0.3329942226409912,133,0.33128786087036133,133
15,105,0.3401377201080322,142,0.3336753845214844,138,0.34435343742370605,138,0.33463311195373535,138
25,105,0.3492147922515869,260,0.3385953903198242,154,0.35321903228759766,161,0.3398399353027344,161
0,51,0.032410383224487305,0,0.032942771911621094,0,0.035115718841552734,0,0.03315997123718262,0
5,51,0.03272294998168945,19,0.034150123596191406,16,0.03490090370178223,16,0.03450131416320801,16
10,51,0.033095598220825195,28,0.034514427185058594,25,0.03411388397216797,25,0.03522157669067383,25
15,51,0.03237652778625488,49,0.03473806381225586,47,0.03740549087524414,46,0.03463244438171387,38
25,51,0.03316497802734375,89,0.034815311431884766,58,0.03566789627075195,58,0.034909725189208984,58
0,67,0.07753300666809082,0,0.07696199417114258,0,0.07780146598815918,0,0.07741689682006836,0
5,67,0.08102130889892578,41,0.08327054977416992,31,0.08561277389526367,29,0.08257365226745605,29
10,67,0.08471488952636719,72,0.08178853988647461,41,0.08222842216491699,46,0.08261632919311523,46
15,67,0.08201241493225098,75,0.08304119110107422,66,0.08252525329589844,67,0.08301401138305664,67
25,67,0.08359718322753906,142,0.0834193229675293,102,0.08375263214111328,102,0.0839529037475586,101
0,63,0.06701922416687012,0,0.06664276123046875,0,0.06670522689819336,0,0.06599974632263184,0
5,63,0.06794524192810059,9,0.06951665878295898,11,0.06752610206604004,8,0.0679616928100586,8
10,63,0.06766748428344727,54,0.06752133369445801,62,0.06888270378112793,62,0.06844592094421387,62
15,63,0.06814217567443848,81,0.06813454627990723,59,0.06818866729736328,59,0.06910896301269531,59
25,63,0.06855487823486328,94,0.0686037540435791,92,0.06901359558105469,92,0.0693519115447998,92
0,60,0.05179548263549805,0,0.0521388053894043,0,0.05154228210449219,0,0.05248427391052246,0
5,60,0.056162118911743164,32,0.06121516227722168,39,0.11787748336791992,39,0.05727982521057129,39
10,60,0.05780148506164551,38,0.059835195541381836,72,0.057940006256103516,72,0.059079885482788086,72
